8,33,76,84,93,1
9,78,71,74,77,2
10,29,78,80,88,3
11,30,78,74,76,4
12,43,75,75,81,5
13,39,76,80,95,6
14,66,94,52,51,0
15,33,76,78,93,1
16,78,71,82,77,2
17,29,77,80,79,3
18,30,78,74,76,4
19,43,75,75,81,5
20,39,76,80,95,6
21,66,94,52,26,0
22,62,82,78,93,1
23,66,81,82,77,2
24,16,77,80,79,3
25,30,78,74,76,4
26,43,75,75,81,5
27,39,76,80,95,6
28,66,88,20,26,0
29,62,85,23,28,1
30,66,81,82,77,2
31,16,77,80,79,3
32,30,81,74,76,4
33,43,84,75,81,5
34,63,76,80,95,6
35,66,88,20,28,0
36,62,85,23,28,1
37,66,81,82,29,2
38,64,77,80,79,3
39,63,81,74,76,4
40,64,84,75,81,5
41,63,76,80,95,6
42,66,88,20,28,0
43,62,85,23,28,1
44,65,81,22,29,2
45,64,77,80,29,3
46,63,81,74,76,4
47,64,84,75,81,5
48,63,81,80,95,6
49,66,86,20,28,0
50,64,85,23,28,1
51,65,81,22,29,2
52,64,87,23,29,3
53,63,81,22,29,4
54,64,84,75,29,5
55,63,81,80,95,6
56,66,86,22,28,0
57,64,82,23,28,1
58,65,81,22,29,2
59,64,82,23,29,3
60,63,81,22,29,4
61,64,84,22,29,5
62,63,81,23,92,6
63,66,88,22,28,0
64,62,85,23,28,1
65,66,81,22,29,2
66,64,82,23,29,3
67,63,81,22,29,4
68,64,84,22,29,5
